Chesapeake,876.7,271,36.6794,76.3018,
,,,,,
Gilbert,176.1,1346,33.3103,111.7431,
,,,,,
Hialeah,55.7,4245,25.8699,80.3029,
,,,,,
Garland,147.6,1592,32.9098,96.6303,
,,,,,
Fremont,200.7,1161,37.4945,121.9412,
,,,,,
Baton Rouge,222.5,1024,30.4422,91.1309,18867
,,,,,
Richmond,154.9,1441,37.5314,77.476,23685
,,,,,
Boise,212.6,1049,43.6002,116.2317,20280
,,,,,
San Bernardino,159.3,1358,34.1416,117.2936,
,,,,,
Spokane,177.9,1214,47.6669,117.4333,19233
,,,,,
Des Moines,230.2,936,41.5726,93.6102,23316
,,,,,
Modesto,111.4,1905,37.6375,121.003,
,,,,,
Birmingham,378.4,561,33.5274,86.799,21410
,,,,,
Tacoma,128.7,1641,47.2522,122.4598,
,,,,,
Fontana,111.4,1883,34.109,117.4629,
,,,,,
Rochester,92.7,2253,43.1699,77.6169,21627
,,,,,
Oxnard,69.7,2984,34.2023,119.2046,22970
,,,,,
Moreno Valley,132.9,1547,33.9233,117.2057,
,,,,,
Fayetteville,382.5,535,35.0828,78.9735,
,,,,,
Aurora,116.3,1729,41.7635,88.2901,
,,,,,
Glendale,78.7,2551,34.1814,118.2458,
,,,,,
Yonkers,46.6,4307,40.9459,73.8674,
,,,,,
Huntington Beach,69.7,2880,33.6906,118.0093,
,,,,,
Montgomery,413.9,483,32.3472,86.2661,18910
,,,,,
Amarillo,262.6,760,35.1999,101.8302,
,,,,,
Little Rock,307.4,646,34.7254,92.3586,20263
,,,,,
Akron,160.6,1231,41.0805,81.5214,24275
,,,,,
,,,,,
,,,,,
Augusta,783.5,252,33.3655,82.0734,18744
,,,,,
Grand Rapids,115,1708,42.9612,85.6556,20901
,,,,,
Shreveport,277.4,700,32.4669,93.7922,
,,,,,
Salt Lake City,288,673,40.7769,111.931,24277
,,,,,
Huntsville,552.7,349,34.699,86.673,
,,,,,
Mobile,361,534,30.6684,88.1002,18126
,,,,,
Tallahassee,260,734,30.4551,84.2534,
,,,,,
Grand Prairie,187.3,1018,32.6869,97.0211,
,,,,,
Overland Park,194.5,971,38.889,94.6906,
,,,,,
Knoxville,255.1,730,35.9707,83.9493,20538
,,,,,
Port St. Lucie,307.9,601,27.2806,80.3883,
,,,,,
Worcester,96.9,1905,42.2695,71.8078,37311
,,,,,
Brownsville,343.2,536,25.9991,97.455,
,,,,,
Tempe,103.6,1761,33.3884,111.9318,
,,,,,
Santa Clarita,136.8,1331,34.403,118.5042,
,,,,,
Newport News,179,1016,37.0762,76.522,
,,,,,
Cape Coral,273.5,658,26.6432,81.9974,
,,,,,
Providence,47.7,3760,41.8231,71.4188,21208
,,,,,
Fort Lauderdale,89.6,1995,26.1412,80.1467,
,,,,,
Chattanooga,370.6,479,35.066,85.2484,19944
,,,,,
Rancho Cucamonga,103.6,1704,34.1233,117.5642,
,,,,,
Oceanside,107,1641,33.2245,117.3062,
,,,,,
Santa Rosa,107,1637,38.4468,122.7061,
,,,,,
Garden Grove,46.6,3751,33.7788,117.9605,
,,,,,
Vancouver,121.5,1439,45.6349,122.5957,
,,,,,
Sioux Falls,195.3,893,43.5383,96.732,
,,,,,
Ontario,129.2,1340,34.0394,117.6042,
,,,,,
McKinney,163.2,1056,33.1985,96.668,
,,,,,
Elk Grove,109.3,1553,38.4146,121.385,
,,,,,
Jackson,287.5,588,32.3158,90.2128,19435
,,,,,
Pembroke Pines,85.5,1973,26.021,80.3404,
,,,,,
Salem,125.9,1330,44.9237,123.0232,
,,,,,
Springfield,213.2,785,37.1942,93.2913,19976
,,,,,
Corona,102.3,1630,33.862,117.5655,
,,,,,
Eugene,114.2,1458,44.0567,123.1162,
,,,,,
Fort Collins,144.5,1136,40.5482,105.0648,
,,,,,
Peoria,455.1,361,33.7862,112.308,
,,,,,
Frisco,175.3,933,33.1554,96.8226,
,,,,,
Cary,146.3,1109,35.7809,78.8133,
,,,,,
Lancaster,244.2,656,34.6936,118.1753,20398
,,,,,
Hayward,117.8,1349,37.6287,122.1024,
,,,,,
Palmdale,274.5,573,34.591,118.1054,
,,,,,
Salinas,61.1,2572,36.6902,121.6337,
,,,,,
Alexandria,38.8,4010,38.8201,77.0841,
,,,,,
Lakewood,111.1,1390,39.6989,105.1176,
,,,,,
,,,,,
,,,,,
Pasadena,112.7,1361,29.6586,95.1506,
,,,,,
Sunnyvale,57,2681,37.3858,122.0263,
,,,,,
Macon,645.7,236,32.8088,83.6942,
,,,,,
Pomona,59.6,2560,34.0585,117.7611,
,,,,,
Hollywood,70.7,2150,26.031,80.1646,
,,,,,
,,,,,
,,,,,
Escondido,96.1,1578,33.1331,117.074,
,,,,,
Clarksville,254.6,590,36.5664,87.3452,
,,,,,
Joliet,166.8,889,41.5177,88.1488,
,,,,,
Rockford,164.5,898,42.2588,89.0646,
,,,,,
Torrance,53.1,2770,33.835,118.3414,
,,,,,
Naperville,100.2,1468,41.7492,88.162,
,,,,,
Paterson,21.8,6800,40.9148,74.1628,
,,,,,
Savannah,268.3,547,32.0025,81.1536,
,,,,,
Bridgeport,41.7,3500,41.1874,73.1958,
,,,,,
Mesquite,122.2,1176,32.7629,96.5888,
,,,,,
